Compania,Seccion_CIIU,Clasificacion_Tamaño,Año,Razon_Liquidez,Prueba_Acida,Razon_Efectivo,Deuda_Activos_pct,Deuda_Capital_pct,Deuda_Neta_EBITDA,ZScore_Altman,ROA_pct,ROE_pct,Margen_Operacional_pct,Margen_Neto_pct,Margen_EBITDA_pct,Activos_Totales,Pasivos_Totales,Patrimonio_Total,Ingresos_Operativos,Utilidad_Neta,EBIT,Capital_Trabajo,Contrib_X1_2021,Contrib_X2_2021,Contrib_X3_2021,Contrib_X4_2021,Zona_ZScore,Cluster_Label,Contrib_X1_2022,Contrib_X2_2022,Contrib_X3_2022,Contrib_X4_2022,Contrib_X1_2023,Contrib_X2_2023,Contrib_X3_2023,Contrib_X4_2023,Contrib_X1_2024,Contrib_X2_2024,Contrib_X3_2024,Contrib_X4_2024
Ecopetrol S.A.,B – Explotación de minas y canteras,Grande,2021,1.7100,1.4300,0.4800,39.0300,101.6800,2.0300,1.9700,7.6700,19.9700,32.2200,20.4100,43.3000,244250094.1900,150498022.8900,93752071.3000,91755109.7200,18726487.6000,29560582.9800,21447015.6100,0.5760,0.0199,0.8133,0.6541,Zona Alerta,Alto desempeño,,,,,,,,,,,,
Empresas Publicas de Medellin E.S.P.,"D – Electricidad, gas, vapor",Grande,2021,1.5000,1.4500,0.4100,38.0200,89.6200,2.9900,2.6800,4.7100,11.1100,23.8300,12.8600,29.2800,67776470.0000,39026285.0000,28750185.0000,25061302.0000,3193213.0000,5917685.0000,4855746.0000,0.4700,1.0180,0.5867,0.7735,Zona Segura,Perfil moderado,,,,,,,,,,,,
Almacenes Exito S.A.,G – Comercio al por mayor y menor,Grande,2021,0.8900,0.5700,0.3900,8.8700,18.6700,-0.7200,1.0500,3.5100,7.3800,5.4300,3.5000,8.5500,16901179.0900,8872701.8500,8028477.2500,16952460.0500,592936.8500,919408.0900,-685040.7600,-0.2659,0.0798,0.3656,0.9501,Zona Alerta,Perfil moderado,,,,,,,,,,,,
D1 S A S,G – Comercio al por mayor y menor,Grande,2021,0.7400,0.4000,0.2500,0.0900,2.8600,-0.6700,-0.2900,4.1200,129.5500,4.5300,1.7200,8.1800,4132222.5100,4000983.7800,131238.7300,9946527.0000,170021.0800,449090.1100,-562921.0400,-0.8937,0.0436,0.7303,0.0344,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Comunicacion Celular S A Comcel S A,J – Información y comunicaciones,Grande,2021,1.1300,1.0300,0.0300,7.0500,16.9900,0.2300,1.8800,9.3300,22.4900,20.5900,13.6300,39.9000,21382818.5600,12512723.2100,8870095.3600,14638418.2600,1994854.2800,3013559.1500,748776.0800,0.2297,0.1107,0.9471,0.7443,Zona Alerta,Perfil moderado,,,,,,,,,,,,
Jeronimo Martins Colombia Sas,G – Comercio al por mayor y menor,Grande,2021,0.3600,0.1500,0.1200,29.0600,922.0600,8.2100,-4.5700,-7.2900,-231.3000,-2.2000,-5.2500,2.0500,3839510.4100,3718499.8500,121010.5600,5336369.0800,-279892.9400,-117103.2300,-1165061.3200,-1.9906,-2.1280,-0.2050,0.0342,Zona Quiebra,Perfil moderado,,,,,,,,,,,,
Colombiana de Comercio S.A.,G – Comercio al por mayor y menor,Grande,2021,1.4500,0.5200,0.0200,5.5600,11.4100,0.2900,3.6300,8.1100,16.6400,6.8800,4.2800,8.1400,4586631.1300,2352376.3000,2234254.8400,9091793.7600,371849.1600,597496.5500,850323.0900,1.2162,0.5989,0.8754,0.9973,Zona Segura,Perfil moderado,,,,,,,,,,,,
Kopps Commercial S.A.S,G – Comercio al por mayor y menor,Grande,2021,1.1400,1.1300,1.0100,3.5000,17.9700,-3.1600,2.9400,14.7700,75.7500,11.4000,7.5300,11.9400,4055923.5800,3265085.2500,790838.3300,7965013.6000,599027.0600,907119.3500,437861.1700,0.7082,0.5022,1.5029,0.2543,Zona Segura,Alto desempeño,,,,,,,,,,,,
Drummond Ltd,C – Industria manufacturera,Grande,2021,1.8800,1.4700,0.0100,2.1800,3.6000,0.0900,4.3900,7.8000,12.9000,19.6600,9.7800,28.1500,10651089.5800,4209797.1500,6441292.4300,8535288.8200,830781.1800,1669277.1000,2070290.3200,1.2751,0.4669,1.0532,1.6066,Zona Segura,Alto desempeño,,,,,,,,,,,,
Primax Colombia S.A.,G – Comercio al por mayor y menor,Grande,2021,1.4300,0.9200,0.4800,27.1400,96.1900,1.2100,2.5100,3.6200,12.8500,1.9100,1.0000,2.9600,1685927.0300,1210297.0200,475630.0100,6095244.9600,61111.1000,116066.9100,211614.1800,0.8234,0.9129,0.4626,0.4126,Zona Segura,Perfil moderado,,,,,,,,,,,,
